date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:14:18	498/498	---M-Z	200	added ('OK')	text/plain	etag:%222029a-502-4f94cef1c3b8f%22	https://www.openshift.com/robots.txt		(from )
16:14:18	40185/40185	---M-Z	200	added ('OK')	text/html	etag:%228f0b347acb995f844f7e9f2d159784ff%22	https://www.openshift.com/	C:/Users/Suriyaa/Downloads/openshift/openshift/www.openshift.com/index.html	(from )
16:14:20	158526/158526	---M-Z	200	added ('OK')	text/javascript	etag:%226c54b59894d7385019cf7fe08e4dc5b8%22	http://cdn.optimizely.com/js/487390242.js	C:/Users/Suriyaa/Downloads/openshift/openshift/cdn.optimizely.com/js/487390242.js	(from https://www.openshift.com/)
16:14:21	32038/32038	---M-Z	200	added ('OK')	image/vnd.microsoft.icon	etag:%223f9df-7d26-511a5f688f4c0%22	https://www.openshift.com/sites/all/themes/openshift-theme/favicon.ico	C:/Users/Suriyaa/Downloads/openshift/openshift/www.openshift.com/sites/all/themes/openshift-theme/favicon.ico	(from https://www.openshift.com/)
16:14:21	6076/6076	---M--	200	added ('OK')	image/png	etag:%2217bc-51363dfbdc800%22	https://assets.openshift.net/app/assets/touch-icon-precomposed.png	C:/Users/Suriyaa/Downloads/openshift/openshift/assets.openshift.net/app/assets/touch-icon-precomposed.png	(from https://www.openshift.com/)
16:14:21	1057/1057	---M-Z	200	added ('OK')	text/css	etag:%22421-51363dfbdc800%22	https://assets.openshift.net/app/assets/overpass.css	C:/Users/Suriyaa/Downloads/openshift/openshift/assets.openshift.net/app/assets/overpass.css	(from https://www.openshift.com/)
16:14:21	7967/7967	---M-Z	200	added ('OK')	text/javascript	etag:%221f1f-51363dfbdc800%22	https://assets.openshift.net/app/assets/modernizr.min.js	C:/Users/Suriyaa/Downloads/openshift/openshift/assets.openshift.net/app/assets/modernizr.min.js	(from https://www.openshift.com/)
16:14:22	67698/67698	---M-Z	200	added ('OK')	text/css	etag:%2210872-51363dfbdc800%22	https://assets.openshift.net/app/assets/common.css	C:/Users/Suriyaa/Downloads/openshift/openshift/assets.openshift.net/app/assets/common.css	(from https://www.openshift.com/)
16:14:22	101024/101024	---M-Z	200	added ('OK')	text/css	etag:%2218aa0-51363dfbdc800%22	https://assets.openshift.net/app/assets/site.css	C:/Users/Suriyaa/Downloads/openshift/openshift/assets.openshift.net/app/assets/site.css	(from https://www.openshift.com/)
16:14:22	2204/2204	---M-Z	200	added ('OK')	text/css	etag:%2261f3d-89c-4bd9592b5b000%22	https://www.openshift.com/sites/all/modules/vote_up_down/widgets/updown/updown.css?t	C:/Users/Suriyaa/Downloads/openshift/openshift/www.openshift.com/sites/all/modules/vote_up_down/widgets/updown/updowne358.css	(from https://www.openshift.com/)
16:14:22	36436/36436	---M-Z	200	added ('OK')	text/css	etag:%22ffffffff3d271b36-8e54-514416b34dda6%22	https://www.openshift.com/sites/default/files/css/css_dfd87965c70c20cc91aa3959874b8111.css	C:/Users/Suriyaa/Downloads/openshift/openshift/www.openshift.com/sites/default/files/css/css_dfd87965c70c20cc91aa3959874b8111.css	(from https://www.openshift.com/)
16:14:22	264595/264595	---M-Z	200	added ('OK')	text/javascript	etag:%2240993-51363dfbdc800%22	https://assets.openshift.net/app/assets/application.js	C:/Users/Suriyaa/Downloads/openshift/openshift/assets.openshift.net/app/assets/application.js	(from https://www.openshift.com/)
16:14:23	72456/72456	---M-Z	200	added ('OK')	text/javascript	etag:%22ffffffff9ec44624-11b08-514416b33c850%22	https://www.openshift.com/sites/default/files/js/js_509ed7878d3f0cdaf56785edfa68d54d.js	C:/Users/Suriyaa/Downloads/openshift/openshift/www.openshift.com/sites/default/files/js/js_509ed7878d3f0cdaf56785edfa68d54d.js	(from https://www.openshift.com/)
16:14:24	9981/9981	---M-Z	200	added ('OK')	text/html	etag:%22f3e38e0f60c008b2039d0aa65c4a6110%22	https://www.openshift.com/app/account/new	C:/Users/Suriyaa/Downloads/openshift/openshift/www.openshift.com/app/account/new.html	(from https://www.openshift.com/)
16:14:24	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Sun,%2014%20Jun%202015%2014:14:17%20GMT	https://www.openshift.com/blogs	C:/Users/Suriyaa/Downloads/openshift/openshift/www.openshift.com/blogs	(from https://www.openshift.com/)
16:14:25	23444/23444	---M-Z	200	added ('OK')	text/html	etag:%22850f3aa274e273e8831073f86329fa8e%22	https://www.openshift.com/products	C:/Users/Suriyaa/Downloads/openshift/openshift/www.openshift.com/products.html	(from https://www.openshift.com/)
16:14:25	60682/60682	---M-Z	200	added ('OK')	text/html	etag:%22c61a0932d039db8b9870260396a845d5%22	https://www.openshift.com/products/pricing	C:/Users/Suriyaa/Downloads/openshift/openshift/www.openshift.com/products/pricing.html	(from https://www.openshift.com/)
16:14:25	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Sun,%2014%20Jun%202015%2013:57:20%20GMT	https://www.openshift.com/developers	C:/Users/Suriyaa/Downloads/openshift/openshift/www.openshift.com/developers	(from https://www.openshift.com/)
16:14:26	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Sun,%2014%20Jun%202015%2014:14:19%20GMT	https://www.openshift.com/support	C:/Users/Suriyaa/Downloads/openshift/openshift/www.openshift.com/support	(from https://www.openshift.com/)
16:14:26	23661/23661	---M-Z	200	added ('OK')	text/html	etag:%2240033877339179e2e00819620f4e3985%22	https://www.openshift.com/products/online	C:/Users/Suriyaa/Downloads/openshift/openshift/www.openshift.com/products/online.html	(from https://www.openshift.com/)
16:14:27	30454/30454	---M-Z	200	added ('OK')	text/html	date:Sun,%2014%20Jun%202015%2014:14:19%20GMT	https://www.openshift.com/products/enterprise	C:/Users/Suriyaa/Downloads/openshift/openshift/www.openshift.com/products/enterprise.html	(from https://www.openshift.com/)
16:14:27	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Sun,%2014%20Jun%202015%2014:14:20%20GMT	https://www.openshift.com/products/enterprise/contact-sales	C:/Users/Suriyaa/Downloads/openshift/openshift/www.openshift.com/products/enterprise/contact-sales	(from https://www.openshift.com/)
16:14:27	20189/20189	---M-Z	200	added ('OK')	text/html	etag:%225165d324c73142c4c3472a528d3e28e5%22	https://www.openshift.com/products/enterprise/try-enterprise	C:/Users/Suriyaa/Downloads/openshift/openshift/www.openshift.com/products/enterprise/try-enterprise.html	(from https://www.openshift.com/)
16:14:27	25272/25272	---M-Z	200	added ('OK')	text/html	etag:%224983a9056af9f1375c77e553ebc7c8ef%22	https://www.openshift.com/products/origin	C:/Users/Suriyaa/Downloads/openshift/openshift/www.openshift.com/products/origin.html	(from https://www.openshift.com/)
16:14:28	21107/21107	---M-Z	200	added ('OK')	text/javascript	etag:%22203f9-5273-513c53cbd6035%22	https://assets.openshift.net/content/flipclock.min.js	C:/Users/Suriyaa/Downloads/openshift/openshift/assets.openshift.net/content/flipclock.min.js	(from https://www.openshift.com/)
16:14:28	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Sun,%2014%20Jun%202015%2014:14:21%20GMT	https://www.openshift.com/developers/technologies	C:/Users/Suriyaa/Downloads/openshift/openshift/www.openshift.com/developers/technologies	(from https://www.openshift.com/)
16:14:28	34073/34073	---M-Z	200	added ('OK')	text/html	date:Sun,%2014%20Jun%202015%2013:30:24%20GMT	https://www.openshift.com/products/technologies	C:/Users/Suriyaa/Downloads/openshift/openshift/www.openshift.com/products/technologies.html	(from https://www.openshift.com/)
16:14:29	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Sun,%2014%20Jun%202015%2014:14:22%20GMT	https://www.openshift.com/developers/extend	C:/Users/Suriyaa/Downloads/openshift/openshift/www.openshift.com/developers/extend	(from https://www.openshift.com/)
16:14:29	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2014%20Jun%202015%2014:14:22%20GMT	http://www.openshift.com/sites/default/files/images/partner-zend-logo-gray.png	C:/Users/Suriyaa/Downloads/openshift/openshift/www.openshift.com/sites/default/files/images/partner-zend-logo-gray.1a.delayed	(from https://www.openshift.com/)
16:14:29	3925/3925	---M--	200	added ('OK')	image/png	etag:%22ffffffffb89c4366-f55-4de47f808dc3d%22	https://www.openshift.com/sites/default/files/images/partner-zend-logo-gray.png	C:/Users/Suriyaa/Downloads/openshift/openshift/www.openshift.com/sites/default/files/images/partner-zend-logo-gray.png	(from https://www.openshift.com/)
16:14:29	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2014%20Jun%202015%2014:14:23%20GMT	http://www.openshift.com/sites/default/files/images/partner-mongodb-logo-gray.png	C:/Users/Suriyaa/Downloads/openshift/openshift/www.openshift.com/sites/default/files/images/partner-mongodb-logo-gray.png	(from https://www.openshift.com/)
16:14:30	5660/5660	---M--	200	added ('OK')	image/png	etag:%22ffffffff5b961b96-161c-4de47e7cf5214%22	https://www.openshift.com/sites/default/files/images/partner-mongodb-logo-gray.png	C:/Users/Suriyaa/Downloads/openshift/openshift/www.openshift.com/sites/default/files/images/partner-mongodb-logo-gray.png	(from https://www.openshift.com/)
